Seq 1,Seq 2,Author Last Name,Title,Date Published,Seq 3,Seq 4,Brief Description,Seq 5,Empty 1,,Storage,Publication Place,Empty 2,Edition,Seq 7,Seq 8,Binding Size Pagination,Content,Provenance,Notes,Empty 3,Author,Condition,Boolean 1,Boolean 2,Date Acquired,Another Date,Stuff 1,Empty 4,Place,Empty 5,Empty 6,Seq 9
4534,2144,"Poleni, Giovanni",De Mathesis in rebus physicis utilitate praelectio,1720,7,113,Mathematics,11,,1,Library,Padua,,0,1338,11,"Paper wrap, 20 x 28 cm, [title] 28 pgs",,,,,"Poleni, Giovanni",Very good,Yes,,2/23/2019,,,,On shelf,,,0
4535,2145a,Faenza Canal,"Chirografo ... delli 2 Giugno 1776, diretto ... all'Em̃o ... Cardinale Legato di Romagna per la costruzione di un canale naviglio dalla città di Faenza al Mare Adriatico mediante il Pò di Primaro",1776,7,113,Faenza Canal,11,,1,Library,Rome,,0,1922,11,"Decorated paper wrap, 19 x 27.5 cm, [title], 15 pg, 6 pps, [second title], 16 pgs",,Rovito,,,Faenza Canal,Good,Yes,,2/23/2019,4/11/2019,,,On shelf Oversize,,,0
4536,2145b,Faenza Canal,"Moto proprio della santita' di nostro signore Papa Pio Sesto, per l'approvazione di tutta l'opera fatta del Canale Naviglio, che dalla citta di Faenza conduce al Mare Adriatico mediante il Po di primaro",1788,7,113,Faenza Canal,11,,1,Library,Rome,,0,1922,11,"Decorated paper wrap, 19 x 27.5 cm, [title], 15 pg, 6 pps, [second title], 16 pgs",,Rovito,,,Faenza Canal,Good,Yes,,2/23/2019,4/11/2019,,,On shelf Oversize,,,0
4537,2146,"Aldini, Giovanni","Osservazioni sul flusso del mare,  considerato com motore di molini e di altre macchine idrauliche",1811,6,11,Hydraulic machines,11,,1,Library,Milan,,0,943,11,"Paper on boards, 13.5 x 21.5 cm, 28 pgs",,Ex libris di Giorgio Amici; Rovito,,,"Aldini, Giovanni",Very good,Yes,,2/23/2019,11/25/2020,,,on shelf,,,0
4538,2147,"Paolo, Bovi",Memoria per un acquidotto d' acqua potabile per alimentare Bologna,1869,6,26,Bologna water supply,14,,1,Library,Bologna,,0,1985,11,"Paper wrap17 x 26 cm, [title], 21 pgs",,Rovito,,,"Paolo, Bovi",Good,Yes,,2/23/2019,,,,On shelf,,,0
4539,2148,"Bramwell, Frederick","The making and working of a channel tunnel : lecture delivered at the royal institution on Friday evening, May 19, 1882",1882,6,70,Channel Tunnel,11,,1,Library,London,,0,459,1,"Printed wrap, 14 x 21 cm, 28 pgs",,Katz,,,"Bramwell, Frederick",Good,Yes,,2/23/2019,,,,On shelf,,,0
4540,2149,"Tubertini, Ottavio","Progetto per un grandioso stabilimento in Bologna di bagni chiusi, e ad acqua corrente, ……. e sale per la ginnastica da instituirsi in luogo detto la Grada con della corrente del canale di Reno",1864,6,11,Reno River,14,,1,Library,Bologna,,0,1986,11,"Coth, 21 x 29 cm, [title], 2 pp, 54 pgs, 1 folding plate",,Rovito,,,"Tubertini, Ottavio",Very good,Yes,,2/24/2019,,,,On shelf,,,0
4542,2150,Holland Tunnel,"Report of the New York State Bridge and Tunnel Commission to the Governor and Legislature of the State of New York, 1920",1920,6,71,Holland Tunnel,14,,1,Library,New York,,0,1987,1,"Cloth with frame and title on cover, 23 x 31 cm, [frontis photograph][title], 82 pgs, 5 photographic plates, 6 plates, 23 folding plates",,Katz,"See New Jersey Report, #1899.",,Holland Tunnel,Good,Yes,,2/24/2019,,,,On shelf,,,0
4543,2151,Thames Tunnel,"Opsigrafia del Tamis-Tounel o della via cavata sotto il Tamigi in Londra dal Sr. Tounel, ingeg. Francese",1838,6,71,Thames Tunnel,6,,4,Archive,Ancona,,0,1988,11,"Card stock, 29 x 34 cm, lithograph print, recto only",,Rovito,Un-coloured and not cut out,,Thames Tunnel,Very good,Yes,,2/24/2019,,,,Box 13 Misc Flat,,,0
4544,2152,"Hutchings, John; Fulton, Robert; Fitch, John",Honor to whom honor is due. Origin of steam navigation. A view of Collect Pond and its vicinity,1846,6,106,Steam navigation,1,,4,Archive,New York,,0,177,1,"Engraved broadsheet, 49.5 x 39.5 cm, recto only",,Rovito,,,"Hutchings, John",Good,Yes,,2/24/2019,2/22/2020,,,Box 13 Misc flat,,,0
4545,2153,Pumps,Aqua thruster Colossus of Rhodes pattern,1940c,6,11,Pumps,1,,4,Archive,Manchester,,0,1989,1,"Lithograph broadsheet, 28 x 43.5 cm, recto, verso",,Rovito,,,Pumps,"Fair, holes",Yes,,2/24/2019,,,,Box 13 Misc flat,,,0
4546,2154,Pumps,Running Water when and where you want it,1910c,6,11,pumps,17,,7,Library,New York,,0,1990,1,"Printed wrap, 15 x 23 cm, 40 pgs, with printed folio, 15 x 23 cm, with loose insert, and printed correspondance, 21.5 x 27.5 cm",,Rovito,,,Pumps,Very good,Yes,,2/24/2019,2/24/2019,,,Trade Cat box,,,0
